0,LUA_MENU_MP_ANNOUNCER_0,,,
1,LUA_MENU_MP_ANNOUNCER_1,MTXVO_preview_01,dlc10,2
2,LUA_MENU_MP_ANNOUNCER_2,MTXVO_preview_02,dlc11,2
3,LUA_MENU_MP_ANNOUNCER_3,MTXVO_preview_03,,
4,LUA_MENU_MP_ANNOUNCER_4,MTXVO_preview_04,,
5,LUA_MENU_MP_ANNOUNCER_5,MTXVO_preview_05,,
6,LUA_MENU_MP_ANNOUNCER_6,MTXVO_preview_06,,
7,LUA_MENU_MP_ANNOUNCER_7,MTXVO_preview_07,,
8,LUA_MENU_MP_ANNOUNCER_8,MTXVO_preview_08,,
9,LUA_MENU_MP_ANNOUNCER_9,MTXVO_preview_09,,
10,LUA_MENU_MP_ANNOUNCER_10,MTXVO_preview_10,,
11,LUA_MENU_MP_ANNOUNCER_11,MTXVO_preview_11,,
12,LUA_MENU_MP_ANNOUNCER_12,MTXVO_preview_12,,
